Title,tags
Grave of the Fireflies,anim drama war tsutomutatsumi ayanoshiraishi yoshikoshinohara tooruhara in final month world war ii 14yearold seita sister setsuko orphan mother kill air raid kobe japan after fall aunt move abandon bomb shelter with surviv rel emerg ration deplet seita setsuko struggl surviv siblingrelationship hunger worldwarii wartim shelter adultanim semiautobiograph antiwar anim orphans childreninwartim dramat earnest empathet
Seven Samurai,action drama toshirōmifun takashishimura yoshioinaba sōjirōmotoki a samurai answer villag request protect fall hard time the town need protect bandit samurai gather six other help teach peopl defend themselv villag provid soldier food epic martialart japan samurai sword peasant villag loot rice fenc moralambigu battl bandit practic jidaigeki 16thcenturi
Cinema Paradiso,drama romanc philippenoiret jacquesperrin marcoleonardi giuseppetornator a filmmak recal childhood fell love movi villag theater form deep friendship theater projectionist parentchildrelationship sicilyitali moviebusi kiss comingofag flashback magicr hauntedbythepast censorship nuovocinemaparadiso movietheat
Impossible Things,famili drama noravelázquez bennyemmanuel luisahuerta ernestocontrera matild woman who death husband—a man constantli abus her—find new best friend miguel young insecur disori even dealer neighbor
Life Is Beautiful,comedi drama robertobenigni nicolettabraschi giorgiocantarini gianluigibraschi a touch stori italian book seller jewish ancestri live littl fairi tale hi creativ happi life would come abrupt halt entir famili deport concentr camp world war ii while lock tri convinc son whole thing game dyinganddeath bookshop loveofoneslif nazi selfsacrific lossoflovedon itali riddl massmurd concentrationcamp fascism holocaustshoah worldwarii deport jewpersecut storytel ridingabicycl nationalsoci darkcomedi charad concentrationcampprison romanticcomedi reflect dark war nazigermani oscarnomin admir
Dou kyu sei – Classmates,romanc anim kenjinojima hiroshikamiya hideoishikawa shoukonakamura rihito sajo honor student perfect score entranc exam hikaru kusakab band popular among girl would never cross path until one day start talk practic school’ upcom choru festiv after school two meet regularli hikaru help rihito improv sing skill while listen other’ voic harmon heart start beat togeth highschool boyschoir comingofag sliceoflif basedonmanga anim gaythem boyslovebl
Radical,drama eugenioderbez danielhaddad jennifertrejo christopherzalla in mexican border town plagu neglect corrupt violenc frustrat teacher tri radic new method break students’ apathi unlock curios potential… mayb even geniu usa–mexicobord teachersandstud bordertown inspir
Fight Club,drama edwardnorton bradpitt helenabonhamcart ceánchaffin a tickingtimebomb insomniac slipperi soap salesman channel primal male aggress shock new form therapi their concept catch on underground fight club form everi town eccentr get way ignit outofcontrol spiral toward oblivion dualident rageandh basedonnovelorbook nihil fight supportgroup dystopia insomnia alterego breakingthefourthwal splitperson quittingajob dissociativeidentitydisord selfdestruct
Interstellar,adventur drama sciencefict matthewmcconaughey annehathaway michaelcain christophernolan the adventur group explor make use newli discov wormhol surpass limit human space travel conquer vast distanc involv interstellar voyag rescu futur spacecraft raceagainsttim artificialintelligenceai nasa timewarp dystopia expedit spacetravel wormhol famin blackhol quantummechan familyrelationship space robot astronaut scientist singlefath farmer spacest curiou spaceadventur timeparadox timemanipul fatherdaughterrelationship introspect 2060 cornfield timemanipul provoc
Psycho,horror thriller mysteri anthonyperkin janetleigh veramil alfredhitchcock when larcen real estat clerk marion crane goe lam wad cash hope start new life end notori bate motel manag norman bate care housebound mother hotel clerk shower arizona motel stolenmoney taxidermi money secretari whodunit corps murder theft mentalil privatedetect missingperson psycho voyeur voyeur oedipuscomplex doubleident protoslash mothersonrelationship bird womanontherun corrupt confusedident humanvulner
