Title,tags
Accattone,drama francocitti francapasut silvanacorsini pierpaolopasolini a pimp mean provid find life spiral control prostitut sent prison prostitut robberi romeitali pimp poverti
Magnolia,drama tomcruis philipbakerhal philipseymourhoffman paulthomasanderson on one random day san fernando valley die father young wife male caretak famou lost son polic offic love boy geniu exboy geniu game show host estrang daughter becom part dazzl multipl plot one stori dyinganddeath daughter farewel regret unsoci chanc becominganadult parentchildrelationship suicideattempt lossoflovedon childprodigi reconcili sanfernandovalley multiplestorylin frog
Hiroshima Mon Amour,drama histori romanc emmanuelleriva eijiokada stelladassa alainresnai the deep convers japanes architect french actress form basi celebr french film consid one vanguard product french new wave set hiroshima end world war ii coupl lover turn friend recount mani hour previou romanc life experi the two intertwin stori past ponder devast wrought atom bomb drop citi newlov franc atomicbomb return lover architect hiroshimajapan blackandwhit famili extramaritalaffair antiwar nouvellevagu
My Policeman,drama romanc harrystyl emmacorrin daviddawson sarahschecht in late 1990 arriv elderli invalid patrick marion tom’ home trigger explor seismic event 40 year previou passion relationship tom patrick time homosexu illeg basedonnovelorbook lgbt gaythem
Slumdog Millionaire,drama romanc devpatel freidapinto madhurmitt dannyboyl a teenag reflect life accus cheat indian version who want millionair basedonnovelorbook slum cheat suspicion mumbaibombayindia gameshow quiz orphan duringcreditssting tajmahalindia
Cool Hand Luke,action drama crime paulnewman georgekennedi lukeaskew carterdehavenjr when petti crimin luke jackson sentenc two year florida prison farm play rule either sadist warden yard resid heavi draglin end admir new guy unbreak will luke bravado even face repeat stint prison dread solitari confin cell the box make rebel hero fellow convict thorn side prison offic prison dyinganddeath florida basedonnovelorbook escap lossoflovedon rebel harass imprison barbedwir gayinterest death prisonfarm
Sound of Metal,drama music rizahm oliviacook paulraci dariusmard metal drummer ruben begin lose hear when doctor tell condit worsen think career life over hi girlfriend lou check former addict rehab deaf hope prevent relaps help adapt new life after welcom accept is ruben must choos new normal life knew deaf missouri drum heavymet addict signlanguag hearingimpair
"Batman: The Dark Knight Returns, Part 1",sciencefict action anim mysteri peterwel arielwint davidselbi jayoliva batman seen ten year a new breed crimin ravag gotham citi forc 55yearold bruce wayn back cape cowl but still take fight crime new era futur dystopia basedongraphicnovel superpow
Mother,crime drama mysteri kimhyeja wonbin jingoo bongjoonho a mother live quietli son one day girl brutal kill boy charg murder now mother mission prove innoc smalltown mother rice golf murder teenagegirl misunderstand cellphon drunk disabl needl drunken acupunctur mentalretard mothersonrelationship
Three Steps Above Heaven,romanc drama maríavalverd mariocasa álvarocervant fernandogonzálezmolina stori two young peopl belong differ world it chronicl love improb almost imposs inevit drag frantic journey discov first great love babi girl uppermiddl class educ good innoc hach rebelli boy impuls unconsci appetit risk danger embodi endless fight illeg motorbik race limit common sens friendship basedonnovelorbook rebel forbiddenlov motorcyclecrash motorsport streetrac love bestfriend motorcycl teenagelov firstlov younglov teenrebel basedonyoungadultnovel
Still Walking,drama famili hiroshiab kirinkiki yuinatsukawa hirokazukoreeda twelv year belov eldest son junpei drown save stranger life kyohei toshiko welcom surviv children home famili reunion younger son ryota still feel parent resent one die new wife yukari awkwardli meet rest famili first time daughter chinami strain fill uncomfort paus forc cheer familyrelationship bereav familyreunion familygath fathersonconflict fathersonrelationship mothersonrelationship
The Straight Story,drama richardfarnsworth sissyspacek janegallowayheitz nealedelstein a retir farmer widow 70 alvin straight learn one day distant brother lyle suffer stroke may recov alvin determin make thing right lyle still can brother live wisconsin alvin stuck iowa car driver licens then hit idea make trip old lawnmow thu begin picturesqu time deepli spiritu odyssey siblingrelationship mississippiriv wisconsin lawnmow iowa biographi basedontruestori roadtrip familyrelationship famili journey elderlyman brotherbrotherrelationship personaljourney transformativejourney
Temple Grandin,drama histori clairedan davidstrathairn barrytubb mickjackson a biopic templ grandin autist american becom one lead scientist human livestock handl bostonmassachusett veterinarian autism biographi newhampshir slaughterhous univers livestock
Who's Afraid of Virginia Woolf?,drama elizabethtaylor richardburton georgeseg mikenichol a histori professor wife entertain young coupl new univers faculti as drink flow secret come light middleag coupl unload onto guest full forc bitter dysfunct animos defin marriag adulteri alcohol professor marriedcoupl son guest blackhumor basedonplayormus campu newengland onenight maritaltens
The Sacrifice,drama erlandjosephson susanfleetwood allanedwal andreitarkovski alexand journalist philosoph retir actor celebr birthday friend famili announc nuclear war begun worldwariii
Back to the Outback,famili anim adventur comedi islafish timminchin ericbana claireknight tire lock reptil hous human gawk like monster ragtag group australia’ deadliest creatur plot escap zoo outback place they’ll fit without judg creatur koala
Philadelphia,drama tomhank denzelwashington jasonrobard jonathandemm two compet lawyer join forc sue prestigi law firm aid discrimin as unlik friendship develop courag overcom prejudic corrupt power adversari philadelphiapennsylvania court juror aid pennsylvaniausa homophobia lawsuit partner hiv lawyer die lgbt discrimin judiciari 1980 courtroomdrama gaythem
Sword Art Online: The Movie – Ordinal Scale,anim action adventur fantasi sciencefict yoshitsugumatsuoka harukatomatsu kanaeito tomohikoito in 2026 four year infam sword art onlin incid revolutionari new form technolog emerg augma devic util augment realiti system unlik virtual realiti nervegear amuspher perfectli safe allow player use consciou creat instant hit market the popular applic augma game ordin scale immers player fantasi roleplay game player rank reward follow new craze kirito friend dive game despit reserv system kirito eventu join them while first appear fun game soon find game seem virtualr sword swordfight basedonmanga anim mmorpg
Divines,drama oulayaamamra déborahlukumuena kévinmischel marcbenoîtcréanci in ghetto religion drug traffick rub shoulder dounia lust power success support maimouna best friend decid follow footstep rebecca respect dealer but encount djigui young disturbingli sensual dancer throw cours friendship dancer streetgang parisfr ghetto drug
Inherit the Wind,drama spencertraci fredricmarch genekelli stanleykram schoolteach bertram cate arrest teach student darwin theori evolut the case receiv nation attent one newspap report ek hornbeck arrang bring renown defens attorney atheist henri drummond defend cate the prosecutor matthew bradi former presidenti candid famou evangelist old adversari drummond politician basedontruestori trial teacher lawyer courtroom evolut rhetor scopesmonkeytri judiciari courtroomdrama
Azur & Asmar: The Princes' Quest,anim famili cyrilmourali karimmribah hiamabbass michelocelot rais tale djinn fairi princess azur young frenchman goe north africa search sprite discov close childhood friend asmar arab youth whose mother rais boy also seek geni fairi tale computeranim myth
Selena,drama music histori jenniferlopez jackieguerra constancemari gregorynava in biograph drama selena quintanilla born music mexicanamerican famili texa her father abraham realiz young daughter talent begin perform small venu she find success fall guitarist chri perez draw ire father seek mainstream stardom selena begin record englishlanguag album which tragic would never complet texa biographi singer elop bustier fanclub corpuschristi
The Red Balloon,comedi drama famili fantasi pascallamoriss georgesselli vladimirpopov albertlamoriss a young boy discov stray balloon seem mind own street pari the two becom insepar yet world’ harsh realiti final interfer friendship parisfr chase littleboy balloon footchas pursuit childhood unlikelyfriendship flee kidgang
The Leopard,drama burtlancast claudiacardinal alaindelon luchinovisconti as garibaldi troop begin unif itali 1860 aristocrat sicilian famili grudgingli adapt sweep social chang undermin way life proud pragmat princ don fabrizio salina allow war hero nephew tancredi marri angelica beauti daughter gauch bourgeoi don calogero order maintain famili accustom level comfort polit clout plan civilwar sicilyitali prais pastor arrangedmarriag monarchi countryest powertakeov politicalinst ambit palermosicili bourbon naplesitali opportunist decad
The Sound of Music,drama famili music romanc julieandrew christopherplumm eleanorpark robertwis in year second world war tomboyish postul austrian abbey hire gover home widow naval captain seven children bring new love life music home resist worldwarii music austria musiccompetit basedonplayormus alpsmountain gover conventnunneri novic puppetshow nuninlov nazioccup 1930 play joyou cheer comfort joy
Furiosa: A Mad Max Saga,action adventur sciencefict anyataylorjoy chrishemsworth tomburk georgemil as world fell young furiosa snatch green place mani mother fall hand great biker hord led warlord dementu sweep wasteland come across citadel presid the immortan joe while two tyrant war domin furiosa must surviv mani trial put togeth mean find way home postapocalypticfutur prequel spinoff tyranni masculin desper motherdaughterrelationship childabduct antagonist
BPM (Beats per Minute),drama nahuelpérezbiscayart arnaudvaloi adèlehaenel huguescharbonneau pari earli 1990 group young activist desper tie find cure unknown lethal diseas they target pharmaceut lab retain potenti cure multipli direct action hope save live well one futur gener parisfr aid europ laboratori lgbt cure pharmaceut 1990 gaythem
Rush,drama action chrishemsworth danielbrühl oliviawild ericfelln in 1970 rivalri propel race car driver niki lauda jame hunt fame glori — horribl accid threaten end all carrac sport worldchampion basedontruestori adventur formulaonef1
The Maltese Falcon,mysteri crime thriller humphreybogart maryastor gladysgeorg johnhuston a privat detect take case involv three eccentr crimin beauti liar quest priceless statuett basedonnovelorbook sanfranciscocalifornia lossoflovedon detect filmnoir murder statuett whodunit blackandwhit privatedetect blackbird privateey
Harry Potter and the Chamber of Secrets,adventur fantasi danielradcliff rupertgrint emmawatson chriscolumbu car fli tree fight back mysteri houseelf come warn harri potter start second year hogwart adventur danger await bloodi write wall announc the chamber of secret ha been open to save hogwart requir harri ron hermione’ magic abil courag witch flyingcar elv magic sword diari childhero schoolofwitchcraft giantspid blackmag giantsnak childdrivingcar wizard aftercreditssting christma basedonyoungadultnovel wizardingworld
Descendants 3,famili tvmovi adventur fantasi dovecameron cameronboyc sofiacarson kennyortega the teenag disney infam villain return isl lost recruit new batch villain offspr join auradon prep magic music famili
The Chorus,drama gérardjugnot françoisberléand kadmerad christophebarrati in 1940 franc new teacher school disrupt boy give hope inspir penalti boardingschool choir diari music boyschoir dormitori princip boysboardingschool 1940 musicmovi
Ali: Fear Eats the Soul,romanc drama brigittemira elhedibensalem irmhermann rainerwernerfassbind emmi kurowski clean ladi lone old age her husband die year ago grown children offer littl companionship one night goe bar frequent arab immigr strike friendship middleag mechan ali their relationship soon develop someth more emmi famili neighbor critic spontan marriag soon emmi ali forc confront insecur futur husbandwiferelationship unsoci parentchildrelationship germani cleaningladi foreign germanturkishlivingtogeth munichgermani olderwomanyoungermanrelationship newgermancinema agegaprelationship
Hotel Rwanda,drama histori war doncheadl sophieokonedo nicknolt akitmanho inspir true event film take place rwanda 1990 million tutsi kill genocid went mostli unnot rest world hotel owner paul rusesabagina hous thousand refug hotel attempt save live rwanda refuge refugeecamp militia rwandangenocid murder slaughter deadbodi atroc african cruelti genocid unitedn death
The Holdovers,comedi drama paulgiamatti dominicsessa davinejoyrandolph alexanderpayn a curmudgeonli instructor new england prep school forc remain campu christma break babysit hand student nowher go eventu form unlik bond one — damag braini troublemak — school’ head cook lost son vietnam vietnamwar winter boardingschool holiday bostonmassachusett 1970 alcohol grief misfit mentalil teacherstudentrelationship newengland boysboardingschool christma winterbreak troubledyouth lossofson christmastim cook
No Manches Frida,comedi omarchaparro marthahigareda fernandacastillo nachogvelilla after releas prison bank robber zequi set recov stolen money buri dizzi accomplic he horrifi learn high school gymnasium stand site loot stash need infiltr build zequi land job substitut teacher group wild unruli student as excon tri lay law start realiz life jail may easier tri deal rebelli teen remak
Holding the Man,drama ryancorr craigstott guypearc neilarmfield tim john fell love teenag allboy high school john captain footbal team tim aspir actor play minor part romeo juliet their romanc endur 15 year face everyth life threw – separ discrimin temptat jealousi loss – problem love cant solv tri destroy them australia aid 1970 romanc love hiv lgbt longtermrelationship sexualdiscrimin gaythem
Prey,thriller action sciencefict ambermidthund dakotabeav michellethrush dantrachtenberg when danger threaten camp fierc highli skill comanch warrior naru set protect peopl but prey stalk turn highli evolv alien predat technic advanc arsen hunter nativeamerican alienlifeform alien prequel decapit bear dog severedfoot bearattack comanch humanvsalien indigenouspeopl severedarm doghero greatplain
The Celebration,drama ulrichthomsen henningmoritzen thomasbolarsen thomasvinterberg dure famili gather celebr father 60th birthday eldest son present speech reveal shock secret everyon daughter depress suicid parentchildrelationship birthday countryhous twinsist familyreunion lectur child dogme95
Edward Scissorhands,fantasi drama romanc johnnydepp winonaryd diannewiest timburton a small suburban town receiv visit castaway unfinish scienc experi name edward underdog smalltown unsoci inventor hairdress isol scissor burglar loveatfirstsight fairytal sad symbol castl alon flashback tragiclov snow gothic toldinflashback christmashorror christma artifici hairsalon signswond lovestori goth frankenstein topiari
Belle,anim sciencefict drama music kahonakamura ryonarita shotasometani mamoruhosoda suzu 17yearold highschool student live rural town father wound loss mother young age suzu one day discov massiv onlin world u dive altern realiti avatar bell befor long us eye fix bell when suddenli mysteri dragonlik figur appear her friendship abusivefath love sliceoflif deadmoth socialnetwork innerstrength anim onlinerelationship virtualworld idol
"Duck, You Sucker",western rodsteig jamescoburn romolov sergioleon at begin 1913 mexican revolut greedi bandit juan miranda idealist john h mallori irish republican armi explos expert lam british fall band revolutionari plot strike nation bank when turn govern use bank hide place illeg detain polit prison freed blast miranda becom revolutionari hero will mexico robberi rape prison liberationofprison revolut class spaghettiwestern
The Avengers,sciencefict action adventur robertdowneyjr chrisevan markruffalo kevinfeig when unexpect enemi emerg threaten global safeti secur nick furi director intern peacekeep agenc known shield find need team pull world back brink disast span globe dare recruit effort begin newyorkc superhero shield basedoncom alieninvas superheroteam aftercreditssting duringcreditssting marvelcinematicuniversemcu
Constantine: City of Demons - The Movie,fantasi anim horror action mattryan robinatkindown laurabailey dougmurphi a decad tragic mistak famili man cha chandler occult detect john constantin set cure daughter trish mysteri supernatur coma magic vertigo supernatur exorc possess basedoncom exorcist darkfantasi demonhunt editedfromtvseri neonoir dcanimatedmovieunivers hellblaz
A Charlie Brown Christmas,anim famili comedi tvmovi peterrobbin christophershea tracystratford billmelendez when charli brown complain overwhelm materi see amongst everyon christma season luci suggest becom director school christma pageant charli brown accept frustrat struggl when attempt restor proper spirit forlorn littl fir christma tree fail need linu help learn mean christma holiday tree cartoon christma
Pride,drama comedi georgemackay benschnetz freddiefox matthewwarchu in 1984 group lgbt activist decid rais money support nation union minework lengthi strike there one problem union seem embarrass receiv support wale londonengland basedontruestori lgbt 1980 activ minersstrik gaythem
Day & Night,anim famili waynedy teddynewton when day sunni fellow encount night stranger distinctli darker mood spark fli day night frighten suspici first quickli get wrong foot but discov other uniqu qualitiesand come realiz offer differ window onto worldth friendship help gain new perspect shortfilm
The Ox-Bow Incident,western drama henryfonda danaandrew marybethhugh williamawellman a poss discov trio men suspect murder cow theft split hand law lynch spot saloon horsebackrid nevada arbitrarylaw theft justic lynch poss lynchmob cattlerustl 19thcenturi
Kwaidan,horror fantasi drama michiyoaratama misakowatanab rentaromikuni shigeruwakatsuki take titl archaic japanes word mean ghost stori antholog adapt four folk tale a penniless samurai marri money tragic result a man strand blizzard save yuki snow maiden rescu come cost blind musician hoichi forc perform audienc ghost an author relat stori samurai see anoth warrior reflect teacup samurai basedonnovelorbook storytel snowstorm tea promis snow blind spirit vengefulghost ghoststori ghost seabattl japanesefolklor navalbattl horrorantholog ghostinthewood
The Searchers,western johnwayn jeffreyhunt veramil johnford as civil war veteran spend year search young niec captur indian motiv becom increasingli question brother nativeamerican uncl racist prejudic racism massacr desert cavalri reverend comanch technicolor civilwarveteran abduct
Fried Green Tomatoes,drama comedi kathyb jessicatandi marylouisepark jonavnet amidst person crisi southern housewif evelyn couch meet ninni outgo old woman tell stori idgi threadgood ruth jamison two young women experienc hardship love whistl stop alabama 1920 basedonnovelorbook southernusa alabama tomato cafe bee nursinghom tomboy lesbian
The Trial of the Chicago 7,drama histori eddieredmayn sachabaroncohen josephgordonlevitt aaronsorkin what suppos peac protest turn violent clash polic what follow one notori trial histori chicagoillinoi rightandjustic politicalactiv blackpantherparti basedontruestori blackactivist countercultur historicalfict activist 1960 courtroomdrama
Batman Begins,action crime drama christianbal michaelcain liamneeson larryfranco driven tragedi billionair bruce wayn dedic life uncov defeat corrupt plagu home gotham citi unabl work within system instead creat new ident symbol fear crimin underworld the batman martialart undercov lossoflovedon secretident crimefight superhero basedoncom rivalri ninja vigilant tragichero superpow hauntedbythepast evildoctor mastervillain unfulfilledlov
PK,comedi drama sciencefict aamirkhan anushkasharma saurabhshukla siddharthroykapur a stranger citi ask question one ask befor known initi man innoc question childlik curios take journey love laughter let go friendship societi christian hinduism islam satir alien love religion sociolog beliefingod islamophobia pakistanvsindia sikhism jainism religioussatir
Fallen Angels,action romanc crime leonlai charlieyeung takeshikaneshiro wongkarwai an assassin goe obstacl attempt escap violent lifestyl despit opposit partner secretli attract him assassin hitman gambl cigarett surreal beer love hongkong drifter bulletwound killer masturb infatu icecreamtruck mysteri detach
The Incredibles,action adventur anim famili craigtnelson hollyhunt sarahvowel johnwalk bob parr given superhero day log time insur adjust rais three children formerli heroic wife suburbia but receiv mysteri assign time get back costum hero secretident superhero villain familyrelationship superpow supervillain 1950 1960 superherofamili
Nosferatu,horror maxschreck gustavvonwangenheim gretaschröd fwmurnau in highli influenti silent horror film mysteri count orlok max schreck summon thoma hutter gustav von wangenheim remot transylvanian castl mountain the eeri orlok seek buy hous near hutter wife ellen greta schroeder after orlok reveal vampir natur hutter struggl escap castl know ellen grave danger meanwhil orlok servant knock alexand granach prepar master arriv new home selfsacrific transylvania germani lossoflovedon vampir shapeshift coffin supernatur castl ghostship blackandwhit silentfilm seashor vampirebat realestateag ghoul psychotron locket sailingship corpseincoffin nosferatu realest blackdeath expression mountaincountri sleepwalk romania rat germanexpression dracula
Knockin' on Heaven's Door,comedi crime tilschweig janjoseflief thierryvanwervek thomasjahn two young men martin rudi suffer termin cancer get know hospit room they drown desper tequila decid take one last trip sea drunk still pajama steal first fanci car find 60 merced convert the car happen belong bunch gangster immedi start chase it sinc contain pistol martin find glove box dyinganddeath friendship polic carrac braintumor ocean moneydeliveri roadmovi aftercreditssting
Nightcrawler,crime drama thriller jakegyllenha rizahm renerusso dangilroy when lou bloom desper work muscl world la crime journal blur line observ particip becom star stori aid effort nina tvnew veteran underground psychopath journal jobinterview cynic sociopath crimescen psychologicalthril losangelescalifornia homeinvas stakeout newsreelfootag characterstudi neonoir ethic stringer policescann newsbusi
The Broken Circle Breakdown,drama veerlebaeten johanheldenbergh nellcattryss dirkimpen the loss young daughter threaten destroy love faith two marri musician 911 deathofachild
Fiddler on the Roof,drama romanc topol normacran leonardfrey normanjewison in small jewish commun prerevolutionari russian villag poor milkman determin find good husband five daughter consult tradit matchmak – also word god dream parentchildrelationship tradit music basedonplayormus pogrom milkman russianorthodoxchurch judaism tavern constabl suitor breakingthefourthwal russiansoldi elop fiddler 1900
The Bridges of Madison County,drama romanc clinteastwood merylstreep anniecorley clinteastwood photograph robert kincaid wander life housewif francesca johnson four day 1960 adulteri secretlov husbandwiferelationship basedonnovelorbook loveofoneslif unsoci marriagecrisi photograph loveatfirstsight photographi peasant motherrol iowa bridg housewif lovelett
Stalag 17,comedi drama war williamholden robertstrauss dontaylor billywild it dreari christma 1944 american pow stalag 17 men barrack 4 sergeant deal grave problem—ther seem secur leak chess escap spi guard plant basedonplayormus blackandwhit secur christma barrack prisonerofwarcamp
If Anything Happens I Love You,drama anim willmccormack in oscarwin short film griev parent journey emot void mourn loss child tragic school shoot tearjerk socialissu grievingpar lossofchild shortfilm sentiment
Cowboy Bebop: The Movie,action anim sciencefict koichiyamadera unshoishizuka aoitada shinichirowatanab the year 2071 follow terrorist bomb deadli viru releas populac mar govern issu largest bounti histori captur whoever behind it the bounti hunter crew spaceship bebop spike fay jet ed take case hope cash bounti howev mysteri surround man respons vincent goe deeper ever imagin one hunt him halloween reveng spacewestern lethalviru adultanim neowestern anim
Jean de Florette,drama yvesmontand gérarddepardieu danielauteuil claudeberri in rural french villag old man remain rel cast covet eye adjoin vacant properti they need spring water grow flower dismay hear man inherit move in they block spring watch new neighbour tri keep crop water well far afield hot summer though see desper effort break health wife daughter heart think get water basedonnovelorbook provenc avaric battleforpow sourc neighbor springwat
Rurouni Kenshin: The Final,action adventur histori drama takerusatoh emitakei mackenyu keishiotomo in 1879 kenshin alli face strongest enemi yet former brotherinlaw enishi yukishiro minion whove vow reveng martialart japan samurai sword reveng murder chambara basedonmanga killer samuraisword death swordduel jidaigeki shinsengumi hiddenpast bakumatsu violenc adaptedfrommanga
Rurouni Kenshin Part III: The Legend Ends,action adventur drama fantasi takerusatoh emitakei munetakaaoki keishiotomo shishio set sail ironclad ship bring govern in order stop him kenshin train old master learn final techniqu japan samurai basedonmanga samuraisword jidaigeki shinsengumi meijiperiod bakumatsu
Moonrise Kingdom,comedi drama romanc jaredgilman karahayward brucewilli wesanderson set island coast new england summer 1965 moonris kingdom tell stori two twelveyearold fall love make secret pact run away togeth wilder as variou author tri hunt down violent storm brew offshor – peac island commun turn upsid way anyon handl camp hurrican penpal comingofag camp orphan newengland firstlov eyepatch searchparti devast handkerchief childsmok smalltownsheriff thecolor boyscout sanddanc meetcut boyscoutslead pipesmok duringcreditssting 1960
"Black Cat, White Cat",comedi romanc crime bajramseverdžan srđanžikatodorović zabitmemedov karlbaumgartn matko small time hustler live danub 17yearold son zare after fail busi deal owe money much success gangster dadan dadan sister afrodita desper want see get marri strike deal zare marri her siblingrelationship gypsi parentchildrelationship grandparentgrandchildrelationship blackmarket unexpectedhappi superstit bath badluck gypsymus teacher debt bestfriend anarchiccomedi
The Eight Mountains,drama lucamarinelli alessandroborghi lupobarbiero felixvangroeningen an epic journey friendship selfdiscoveri set breathtak italian alp the eight mountain follow four decad profound complex relationship pietro bruno friendship basedonnovelorbook mountain malefriendship gayinterest buildingahous fathersonrelationship alp
Aftersun,drama paulmesc frankiecorio brooklyntoulson charlottewel sophi reflect share joy privat melancholi holiday took father twenti year earlier memori real imagin fill gap minidv footag tri reconcil father knew man didnt hotel depress karaok affect tourist melancholi vacat turkey swimmingpool comingofag memori taichi familyvac firstkiss teenagedaught lgbt semiautobiograph videorecord womandirector moodi rug fatherdaughterrelationship reminisc gaythem bittersweet admir ador
Onward,famili anim adventur comedi fantasi tomholland chrispratt julialouisdreyfu korira in suburban fantasi world two teenag elf brother embark extraordinari quest discov still littl magic left there elv magic deadfath deadpar fantasyworld teenageprotagonist brotherbrotherrelationship
"Miraculous: Ladybug & Cat Noir, The Movie",anim fantasi action romanc famili annouckhautboi benjaminbollen fannybloc jeremyzag after guardian magic jewel turn awkward girl popular boy superhero never reveal ident — even other parisfr superhero music interracialrom teensuperhero
Spirit: Stallion of the Cimarron,anim adventur comedi famili drama western romanc mattdamon jamescromwel charlesnapi kellyasburi as wild stallion travel across frontier old west befriend young human find true love mare freedom mustang rivalri wildlif anim cavalri indianwar eyebrow wildhors pet
A Matter of Life and Death,romanc fantasi drama comedi davidniven kimhunt rogerlivesey michaelpowel when young raf pilot miracul surviv bail aeroplan without parachut fall love american radio oper but offici world realis mistak dispatch angel collect him courtcas england angel worldwarii heaven bicycl
Time of the Gypsies,drama comedi crime fantasi davordujmović borivojetodorović ljubicaadžović emirkusturica in lumin tale set former yugoslavia perhan engag young romani telekinet power seduc quickcash world petti crime threaten destroy love gypsi paranormalphenomena telekinesi anarchiccomedi
Harry Potter and the Half-Blood Prince,adventur fantasi danielradcliff rupertgrint emmawatson davidy as lord voldemort tighten grip muggl wizard world hogwart longer safe haven harri suspect peril may even lie within castl dumbledor intent upon prepar final battl fast approach togeth work find key unlock voldemort defens end dumbledor recruit old friend colleagu horac slughorn believ hold crucial inform even decis showdown loom romanc blossom harri ron hermion classmat love air danger lie ahead hogwart may never again witch dyinganddeath londonengland magic schoolofwitchcraft apparit curs teenagecrush school werewolf teenagelov luck wizard secretpast christma basedonyoungadultnovel wizardingworld
Brief Encounter,drama romanc celiajohnson trevorhoward stanleyholloway ronaldneam return home shop trip nearbi town bore suburban housewif laura jesson thrown happenst acquaint virtuou doctor alec harvey their casual friendship soon develop weekli visit someth emot fulfil either expect must wrestl potenti havoc deepen relationship would live live love infidel farewel husbandwiferelationship narrat marriag housewif duti doctor loveaffair tearjerk toldinflashback impossiblelov shame guiltyconsci brokenheart hopeless scheduledrendezv secret
White Snake,romanc anim fantasi zhangzh tianxiangyang xiaoxitang ampwong one day young woman name blanca save xuan snake catcher nearbi villag she lost memori togeth go journey discov real ident develop deeper feel one anoth along way but learn past uncov darker plot supernatur forc vy power fate world hang balanc assassin china emperor love dragon poverti adultanim ancient anim cartoonsnak
Boys,drama romanc gijsblom kozandvliet jonassmuld mischakamp two teen track star discov first love train biggest relay race young live friendship malefriendship teenageboy teenagelov firstlov lgbt womandirector runner gaythem
Don't Blame the Kid,comedi romanc karlasouza ricardoabarca biassinisegura gustavoloza after onenight stand result pregnanc young woman decid becom partner emot immatur fathertob onenightstand birth unlikelylov duringcreditssting unplannedpregn
Drishyam,crime mysteri thriller ajaydevgan tabu shriyasaran nishikantkamat a simpl streetsmart man tri protect famili cop look miss son polic blackmail hiddencamera remak murder famili phone basedonmovi falseevid
Free Fall,drama romanc hannokoffl maxriemelt katharinaschüttl stephanlac a promis career polic babi way marc life seem right track then meet fellow policeman kay regular jog marc experi neverbeforefelt sens eas effortless – mean fall love anoth man comingout infidel doublelif homophobia inthecloset policeacademi lgbt bowlingalley policetrain trailrun communalshow homophobicattack
The Children's Hour,drama shirleymaclain audreyhepburn jamesgarn williamwyl a privat school young girl scandal one spite student accus two young women run school relationship falselyaccus femalefriendship basedonplayormus teacher lesbianrelationship blackandwhit lgbt rumor libelsuit depressedwoman queer girlsschool devast
Cousins,comedi romanc drama thiagocazado paulosousa julianazancanaro thiagocazado luca young man live religi aunt lourd quiet countri town he help aunt hold religi meet ladi area live room play biblic song keyboard thi quiet life end soon charit aunt commun arriv anoth nephew mario jail the clash realiti cousin end caus unusu situat unexpect attract among boy comingout smalltown cousin comingofag cathol lgbt cousincousinrelationship gaythem
The Blind Side,drama sandrabullock timmcgraw quintonaaron johnleehancock the stori michael oher homeless traumat boy becam all american footbal player first round nfl draft pick help care woman famili sport americanfootbal adopt privateschool educ basedontruestori memphistennesse duringcreditssting christian highschoolfootbal
Marcel the Shell with Shoes On,anim comedi famili jennysl deanfleischercamp isabellarossellini deanfleischercamp marcel ador oneinchtal shell eke color exist grandmoth conni pet lint alan onc part sprawl commun shell live alon sole survivor mysteri tragedi but documentari filmmak discov amongst clutter airbnb short film post onlin bring marcel million passion fan well unpreced danger new hope find longlost famili mockumentari stopmot famili viralvideo shell childrensstori child airbnb lossoffamili stopfram basedonshortfilm
The Turin Horse,drama jánosderzsi erikabók mihálykormo bélatarr a monument windstorm abus hors refus work eat signal begin end poor farmer daughter hors turinitali remodernist mortal contemplativecinema slowcinema bleak
Black Swan,drama thriller horror natalieportman milakuni vincentcassel darrenaronofski a journey psych young ballerina whose star role duplicit swan queen turn part becom frighteningli perfect newyorkc danc dancer nightmar competit obsess insan paranoia hallucin balletdanc ballet femaleprotagonist psychologicalthril fear heartbreak mentalil mad realityvsfantasi swanlak ballerina stageperform aggress selfharm motherdaughterrelationship selfdestruct theater pointesho antagonist
The Martian,drama adventur sciencefict mattdamon jessicachastain kristenwiig simonkinberg dure man mission mar astronaut mark watney presum dead fierc storm left behind crew but watney surviv find strand alon hostil planet with meager suppli must draw upon ingenu wit spirit subsist find way signal earth aliv spacecraft planetmar basedonnovelorbook nasa isol botanist alon surviv space engin strand astronaut struggleforsurviv duringcreditssting deepspac thought potato 2030 dramat
The Man from Nowhere,action thriller crime wonbin kimsaeron kimtaehun leetaehun an exspeci agent involv convolut drug ring drama he save drug smuggler innoc daughter victim parent fight friendship martialart assassin hero hitman childlabour humantraffick protect reveng tragichero disappear drug neonoir organharvest
Meshes of the Afternoon,mysteri fantasi mayaderen alexanderhammid mayaderen a woman return home fall asleep vivid dream may may happen realiti through repetit imag complet mismatch object view time space dark inner desir play onscreen suicid dream key womandirector shortfilm
Harvey,comedi fantasi jamesstewart josephinehul peggydow henrykost the stori elwood p dowd make friend spirit take form humans rabbit name harvey see and privileg other occas also after sister tri commit mental institut comedi error ensu elwood harvey becom catalyst famili mend wound romanc blossom unexpect place sanatorium basedonplayormus imaginaryfriend mentalinstitut blackandwhit policeoffic rabbit mentalil screwballcomedi commit brothersisterrelationship
